"schema_name","table_name","column_name","data_type","nullable","default_value","current_rows","read_by","written_by","usage_status","usage_evidence","column_comment"
"public","residenciales","name","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","department","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","locality","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","address","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","places","integer","yes","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","lat","double precision","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","lng","double precision","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","precision","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","precision_label","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","status_group","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados","Categoría visual principal: habilitado, registro, verificar o app (hallazgo digital sin verificación administrativa)."
"public","residenciales","status_stage","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","status_short","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","source_label","text","no","","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados",""
"public","residenciales","created_at","timestamp with time zone","no","now()","804","unknown","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs; default/now() o DML de actualización","db_managed_no_runtime_reader","Default/update; no SELECT runtime confirmado",""
"public","residenciales","updated_at","timestamp with time zone","no","now()","804","unknown","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs; default/now() o DML de actualización","db_managed_no_runtime_reader","Default/update; no SELECT runtime confirmado",""
"public","residenciales","msp_final","boolean","no","false","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados","Figura en el listado de habilitaciones finales MSP usado por la carga auditada."
"public","residenciales","msp_registro_historico","boolean","no","false","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados","Tiene al menos una emisión histórica de certificado de registro MSP en la fuente auditada."
"public","residenciales","mides_social","boolean","no","false","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados","Figura en una página nominal recuperada de Certificado Social MIDES."
"public","residenciales","pacp","boolean","no","false","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados","Figura en el registro público de proveedores PACP incorporado a la fuente auditada."
"public","residenciales","other_source","boolean","no","false","804","app/api/residenciales/route.ts; app/api/team/facility-candidates/route.ts; scripts/export-residenciales.mjs; scripts/discover-residenciales.mjs; scripts/lib/social-candidate-import.mjs","scripts/import-residenciales.mjs; scripts/sync-residenciales-elepem-v01.mjs; scripts/load-paysandu-app-discoveries.mjs; scripts/promote-residencial-discovery-candidate.mjs","runtime_legacy","Consulta pública explícita; scripts SQL versionados","La fila conserva una fuente conocida fuera de las tres listas administrativas auditadas en ELEPEM v01."
"public","intake_report_events","id","uuid","no","gen_random_uuid()","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_events","report_id","uuid","no","","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_events","status","text","no","","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_events","public_title","text","no","","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_events","public_description","text","no","","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_events","internal_note","text","yes","","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_events","event_data","jsonb","no","'{}'::jsonb","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_events","actor","text","no","'system'::text","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_events","created_at","timestamp with time zone","no","now()","3","app/api/intake-reports/status/route.ts; app/api/team/intake-reports/route.ts","app_private.record_intake_received trigger; app/api/team/intake-reports/route.ts; default/now() o DML de actualización","runtime_intake","SQL explícito y trigger remoto",""
"public","intake_report_attachments","id","uuid","no","","0","app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/attachment/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/upload-intake-evidence/index.ts","supabase/functions/upload-intake-evidence/index.ts; app/api/intake-reports/[caseCode]/attachments/route.ts","runtime_intake","SQL/cliente Supabase explícitos",""
"public","intake_report_attachments","report_id","uuid","no","","0","app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/attachment/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/upload-intake-evidence/index.ts","supabase/functions/upload-intake-evidence/index.ts; app/api/intake-reports/[caseCode]/attachments/route.ts","runtime_intake","SQL/cliente Supabase explícitos",""
"public","intake_report_attachments","bucket_id","text","no","'intake-evidence'::text","0","app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/attachment/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/upload-intake-evidence/index.ts","supabase/functions/upload-intake-evidence/index.ts; app/api/intake-reports/[caseCode]/attachments/route.ts","runtime_intake","SQL/cliente Supabase explícitos",""
"public","intake_report_attachments","object_path","text","no","","0","app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/attachment/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/upload-intake-evidence/index.ts","supabase/functions/upload-intake-evidence/index.ts; app/api/intake-reports/[caseCode]/attachments/route.ts","runtime_intake","SQL/cliente Supabase explícitos",""
"public","intake_report_attachments","file_name","text","no","","0","app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/attachment/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/upload-intake-evidence/index.ts","supabase/functions/upload-intake-evidence/index.ts; app/api/intake-reports/[caseCode]/attachments/route.ts","runtime_intake","SQL/cliente Supabase explícitos",""
"public","intake_report_attachments","mime_type","text","no","","0","app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/attachment/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/upload-intake-evidence/index.ts","supabase/functions/upload-intake-evidence/index.ts; app/api/intake-reports/[caseCode]/attachments/route.ts","runtime_intake","SQL/cliente Supabase explícitos",""
"public","intake_report_attachments","size_bytes","bigint","no","","0","app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/attachment/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/upload-intake-evidence/index.ts","supabase/functions/upload-intake-evidence/index.ts; app/api/intake-reports/[caseCode]/attachments/route.ts","runtime_intake","SQL/cliente Supabase explícitos",""
"public","intake_report_attachments","created_at","timestamp with time zone","no","now()","0","app/api/intake-reports/[caseCode]/attachments/route.ts; app/api/team/intake-reports/attachment/route.ts; app/api/team/intake-reports/route.ts; supabase/functions/upload-intake-evidence/index.ts","supabase/functions/upload-intake-evidence/index.ts; app/api/intake-reports/[caseCode]/attachments/route.ts; default/now() o DML de actualización","runtime_intake","SQL/cliente Supabase explícitos",""
"public","intake_notification_log","id","uuid","no","gen_random_uuid()","0","supabase/functions/notify-intake-code/index.ts","supabase/functions/notify-intake-code/index.ts","runtime_intake","Cliente Supabase explícito",""
"public","intake_notification_log","report_id","uuid","no","","0","supabase/functions/notify-intake-code/index.ts","supabase/functions/notify-intake-code/index.ts","runtime_intake","Cliente Supabase explícito",""
"public","intake_notification_log","kind","text","no","","0","supabase/functions/notify-intake-code/index.ts","supabase/functions/notify-intake-code/index.ts","runtime_intake","Cliente Supabase explícito",""
"public","intake_notification_log","provider_message_id","text","yes","","0","supabase/functions/notify-intake-code/index.ts","supabase/functions/notify-intake-code/index.ts","runtime_intake","Cliente Supabase explícito",""
"public","intake_notification_log","created_at","timestamp with time zone","no","now()","0","supabase/functions/notify-intake-code/index.ts","supabase/functions/notify-intake-code/index.ts; default/now() o DML de actualización","runtime_intake","Cliente Supabase explícito",""
"public","residencial_discovery_candidates","id","text","no","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","sources","ARRAY","no","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend","Fuentes de descubrimiento permitidas; SerpApi y Apify se mantienen como evidencia interna por riesgo contractual."
"public","residencial_discovery_candidates","origins","jsonb","no","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","google_place_ids","ARRAY","no","'{}'::text[]","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend","Identificadores de Google Places; no contiene otro contenido persistido de Places API."
"public","residencial_discovery_candidates","name","text","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","department","text","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","locality","text","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","address","text","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","phone","text","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","website_url","text","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","lat","double precision","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","lng","double precision","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","operational_status","text","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","storage_policy","text","no","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend","Regla de persistencia aplicada según la fuente y sus términos/licencia."
"public","residencial_discovery_candidates","match_status","text","no","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","suggested_residencial_id","text","yes","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","confidence","numeric","no","","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","match_reasons","ARRAY","no","'{}'::text[]","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
"public","residencial_discovery_candidates","alternative_matches","jsonb","no","'[]'::jsonb","40","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs","scripts/sync-residencial-discovery-candidates.mjs; scripts/review-residencial-discovery-candidate.mjs; scripts/promote-residencial-discovery-candidate.mjs; scripts/load-paysandu-app-discoveries.mjs","legacy_private_queue","SELECT * y DML explícitos; sin lector de frontend",""
