source_id,title,institution,cutoff,loaded_rows,role,url,limitations
mides_dept_09fa2dd5,Página departamental de Certificado Social,MIDES / Inmayores,según página,12,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/colonia-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_e0d04cd3,Página departamental de Certificado Social,MIDES / Inmayores,según página,4,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/durazno-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_e3cebda7,Página departamental de Certificado Social,MIDES / Inmayores,según página,2,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/flores-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_31346ea4,Página departamental de Certificado Social,MIDES / Inmayores,según página,5,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/florida-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_8150f614,Página departamental de Certificado Social,MIDES / Inmayores,según página,2,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/lavalleja-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_09842cee,Página departamental de Certificado Social,MIDES / Inmayores,según página,9,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/maldonado-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_eba37166,Página departamental de Certificado Social,MIDES / Inmayores,según página,191,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/montevideo-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_39022b04,Página departamental de Certificado Social,MIDES / Inmayores,según página,8,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/paysandu-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_2530dee9,Página departamental de Certificado Social,MIDES / Inmayores,según página,2,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/rio-negro-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_a4d4cf65,Página departamental de Certificado Social,MIDES / Inmayores,según página,3,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/salto-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_25123e52,Página departamental de Certificado Social,MIDES / Inmayores,según página,10,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/san-jose-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
mides_dept_c2af8bff,Página departamental de Certificado Social,MIDES / Inmayores,según página,5,Fuente nominal departamental utilizada para la carga.,https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/soriano-establecimientos-larga-estadia-para-personas-mayores-certificado-social,Puede contener filas repetidas o datos con diferente fecha de actualización.
