entity_id,name,department,locality,address,street,door,capacity,phone,email,legal_name,rut,highest_stage,msp_final,mides_social,msp_registro_historico,pacp,historical_certificate_count,historical_certificates,historical_first_year,historical_latest_year,latest_public_date,source_record_count,source_types_count,latitude,longitude,geocode_confidence,geocode_method,geocode_score,geocode_source,source_urls
ELP-0012,CENTRO VITAL,Canelones,COSTA,"AV. GIANNATASIO MANZANA 14, SOLAR 3",AV. GIANNATASIO MANZANA,"14, SOLAR 3",,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,028/2022,2022,2022,2022,1,1,-34.7648409,-55.8594924,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0013,Dra Teresita,Canelones,balneario EL,"Viña del mar, manzana 16, Solar 27","Viña del mar, manzana","16, Solar 27",,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,114/2021,2021,2021,2021,1,1,-34.8353018,-55.9754637,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0014,El Bosque,Canelones,,Calle 6 entre C y D,Calle,6,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,121/2018,2018,2018,2018,1,1,-34.7424796,-55.7220438,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0015,El Es Mi Paz,Canelones,Progreso,Av. Brasil Entre Rio Negro Y Paysandú S/N,Av. Brasil Entre Rio Negro Y Paysandú,S/N,,23698608,,,,Certificado Social MIDES,False,True,True,False,1,102/2022,2022,2022,2024-07-15,2,2,-34.8216231,-55.7433088,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0016,El Hogar,Canelones,,Achiras M 24 S 23,Achiras M,24 S 23,,,,,,Certificado de registro MSP (histórico),False,False,True,False,2,"094/2019, 095/2019",2019,2019,2019,2,1,-34.8316182,-55.9577019,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0017,El Naranjo,Canelones,Ciudad de la Costa,Emilio de Franco M29 S1,Emilio de Franco M,29 S1,,,,,,Certificado de registro MSP (histórico),False,False,True,False,2,"030/2023, 008/2024",2023,2024,2024,2,1,-34.8372171,-55.9836139,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0018,EL OTOÑAL,Canelones,LAS PIEDRAS,WILSON F ALDUNATE 502,WILSON F ALDUNATE,502,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,108/2022,2022,2022,2022,1,1,-34.4355831,-55.9707977,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0019,El Otoñal,Canelones,Las Piedras,Wilson Ferreira 502,Wilson Ferreira,502,,23638902,,,,Certificado Social MIDES,False,True,False,False,0,,,,2024-07-15,1,1,-34.8446499,-56.0306761,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social""]"
ELP-0020,El Renacer,Canelones,Solymar,Av. Gral. Gestido Esq. Canelones M2 S7,Av. Gral. Gestido Esq. Canelones,M2 S7,,26988809,,,,Certificado Social MIDES,False,True,False,False,0,,,,2024-07-15,1,1,-34.8334681,-55.9591235,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social""]"
ELP-0021,EL RENACER,Canelones,SUR,"PINOS MANZ 2, SOLAR 7",PINOS MANZ,"2, SOLAR 7",,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,094/2022,2022,2022,2022,1,1,-34.8332009,-55.9555083,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0022,En Familia,Canelones,La Paz,Av. Artigas 281,Av. Artigas,281,,91478410,,,,Certificado Social MIDES,False,True,False,False,0,,,,2024-07-15,1,1,-34.7419439,-56.2239585,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social""]"
ELP-0023,En Familia,Canelones,La Paz,Gral. Artigas 281,Gral. Artigas,281,14,099685065 098434382 - 26002601 -,natiajv@hotmail.com,,,Habilitación final MSP,True,False,True,False,1,072/2021,2021,2021,2026-06-30,2,2,-34.7788763,-55.5597359,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0024,Establecimiento Astenkeph,Canelones,,Mar Mediterráneo MB13 S14 - Canelones,Mar Mediterráneo MB,13 S14 - Canelones,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,057/2018,2018,2018,2018,1,1,-34.7982844,-55.9221966,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0025,Girasol,Canelones,,Patricio Alvarez entre Ruta 8 y Gabriel Pereira,Patricio Alvarez entre Ruta,8,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,091/2019,2019,2019,2019,1,1,-34.6940102,-55.8949613,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0026,GRACIAS A DIOS,Canelones,ATLANTIDA,Calle 12 entre a y b M155 S18,Calle,12,,,,,,Certificado de registro MSP (histórico),False,False,True,False,2,"014/2018, 018/2023",2018,2023,2023,2,1,-34.7421382,-55.7203116,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0027,Graciela Hernández,Canelones,,Jaume y Bernat s/n - Soca,Jaume y Bernat,S/N,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,094/2018,2018,2018,2018,1,1,-34.6809105,-55.7083378,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0028,Hogar Ana Arriola De Ado,Canelones,San Jacinto,Ruta 7 Km. 52.800,Ruta 7,Km 52.800,10,094801758 - 092449072 099658237 - 23622190 - | 94801758,anaarrioladeado@gmail.com,,,Habilitación final MSP,True,True,True,False,1,096/2021,2021,2021,2026-06-30,3,3,-34.5324167,-55.8741464,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf"", ""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0029,Hogar Ana Maria Y Beatriz Izquierdo,Canelones,Shangrila,Av. Giannattasio M2 S2,Av. Giannattasio,M2 S2,,26832541,,,,Certificado Social MIDES,False,True,False,False,0,,,,2024-07-15,1,1,-34.8465806,-56.0028953,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social""]"
ELP-0030,Hogar Ana Maria y Beatriz IZQUIERDO / Susana Izquierdo,Canelones,Shangrilà,"Gianattasio 2 manzana 2, Solar 2",Gianattasio,"2 manzana 2, Solar 2",,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,115/2021,2021,2021,2021,1,1,-34.8439287,-55.9923999,baja,centroide de localidad,35,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0031,HOGAR DE ANCIANOS DRA. ROCIO STECIANO,Canelones,SAUCE,Av. Artigas 1305,Av. Artigas,1305,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,007/2023,2023,2023,2023,1,1,-34.7270094,-56.227844,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0032,Hogar Intergeneracional De Pando,Canelones,Pando,Luis Alberto De Herrera S/N,Luis Alberto De Herrera,S/N,,22921114 | 43362096,,,,Certificado Social MIDES,False,True,True,False,2,"019/2020, 073/2020",2020,2020,2024-07-15,4,2,-34.5667336,-56.0084286,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0033,HOGAR De Ancianos PUGA SORIA,Canelones,LOS CERRILLOS KM 24 GIANNATASIO,LUIS A DE HERRERAS/N ENTRE RUTA 36 Y A. MACHIN,LUIS A DE HERRERAS/N ENTRE RUTA,36 Y A. MACHIN,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,093/2022,2022,2022,2022,1,1,-34.7242935,-56.0849835,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0034,Hogar de Ancianos San Antonio,Canelones,,María Pereira de Marotte s/n esq. José Pedro Varela,María Pereira de Marotte,S/N,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,097/2019,2019,2019,2019,1,1,-34.4623081,-56.0986879,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0035,Hogar Huellas,Canelones,Salinas,Sombra del Toro S13 M42,Sombra del Toro S,13 M42,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,010/2024,2024,2024,2024,1,1,-34.7770001,-55.8418736,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0036,Hogar Maranata,Canelones,Progreso,Juana De Ibarbourou 256,Juana De Ibarbourou,256,,23693278 / 098881416,,,,Certificado Social MIDES,False,True,True,False,1,017/2022,2022,2022,2024-07-15,2,2,-34.6430637,-56.2399444,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0037,Hogar Maranata,Canelones,,Juana de Ibarburou 256 Ruta 5 Km 33500- Progreso,Juana de Ibarburou,256 Ruta 5 Km 33500- Progreso,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,058/2018,2018,2018,2018,1,1,-34.7275041,-56.1553205,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0038,Hogar Máximo Cenoz Hita,Canelones,Santa Lucia,Magariños Cervantes 95,Magariños Cervantes,95,,43347761 / 094881030,,,,Certificado Social MIDES,False,True,True,False,1,038/2023,2023,2023,2024-07-15,2,2,-34.4512977,-56.3899217,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0039,Residencial La Familia,Canelones,Migues,Calle 9 y Calle 1 sin número,Calle,9,,,,,,Certificado de registro MSP (histórico),False,False,True,False,3,"032/2019, 106/2019, 001/2020",2019,2020,2020,3,1,-34.7424701,-55.7213455,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0040,Hogar Tapia,Canelones,,Calle K esq. Ruta 88 km 80,Calle K esq. Ruta,88 km 80,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,068/2019,2019,2019,2019,1,1,-34.7284613,-55.7227009,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0041,JACARANDA,Canelones,COSTA,AV. Giannattasio km 20 M 4 S 3,AV. Giannattasio km,20 M 4 S 3,,,,,,Certificado de registro MSP (histórico),False,False,True,False,2,"002/2023, 052/2023",2023,2023,2023,2,1,-34.7648409,-55.8594924,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0042,LA AURORA,Canelones,EL PINAR,Avda. Gral. Artigas KM 30 M90 S19,Avda. Gral. Artigas KM,30 M90 S19,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,058/2023,2023,2023,2023,1,1,-34.6659707,-56.2191532,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0043,LA AURORA,Canelones,LA COSTA,"AV.GRAL ARTIGAS, MANZANA 90, SOLAR 19","AV.GRAL ARTIGAS, MANZANA","90, SOLAR 19",,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,010/2022,2022,2022,2022,1,1,-34.6980039,-56.2232474,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0044,La Bonne Vie,Canelones,El Pinar,Río Negro M 216 S 15,Río Negro M,216 S 15,25,26989926 | 26989926 - 095394278,reslabonnevie@gmail.com,SANTOS CAVIGLIA MARÍA DE LOS ÁNGELES,21 741046 0017,Habilitación final MSP,True,True,True,True,2,"015/2018, 107/2019",2018,2019,2026-06-30,5,4,-34.7856227,-55.9253815,media,puerta más cercana en la misma calle,89,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf"", ""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/sistema-cuidados/comunicacion/comunicados/programa-apoyo-cuidado-permanente-pacp"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0045,LA CAROLINA,Canelones,CANELONES CIUDAD DE LA,"GUSTAVO NICOLICH, MANZANA 105 , SOLAR 3, COLONIA NICOLICH","GUSTAVO NICOLICH, MANZANA","105 , SOLAR 3, COLONIA NICOLICH",,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,027/2022,2022,2022,2022,1,1,-34.8130692,-56.0402766,alta,calle y puerta exacta,100,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0046,LA CASA NARANJA,Canelones,COSTA,MARISOL 1030 ESQ GESTIDO,MARISOL,1030 ESQ GESTIDO,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,092/2022,2022,2022,2022,1,1,-34.8344848,-55.9581279,media,puerta más cercana en la misma calle,84,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0047,LA ESPERANZA,Canelones,Los Cerrillos,RUTA 36 KM. 31,RUTA 36,Km 31,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,151/2022,2022,2022,2022,1,1,-34.6191498,-56.334135,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0048,La Estancia Hotel Residencial,Canelones,Canelones,María Stagnero De Munar Esq. Camino Imperiale S/N,María Stagnero De Munar Esq. Camino Imperiale,S/N,,97774000,,,,Certificado Social MIDES,False,True,True,False,1,048/2022,2022,2022,2024-07-15,2,2,-34.5642577,-56.2288138,media-baja,centroide de calle,70,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/canelones-establecimientos-larga-estadia-para-personas-mayores-certificado-social"", ""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0049,La Familia,Canelones,,18 de Julio 796,,18 de Julio 796,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,108/2019,2019,2019,2019,1,1,-34.7041825,-55.9930945,muy baja,centroide departamental,20,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
ELP-0050,La Posada,Canelones,,Becu M 28 S 1,Becu M,28 S 1,,,,,,Certificado de registro MSP (histórico),False,False,True,False,1,135/2019,2019,2019,2019,1,1,-34.8371893,-55.980077,alta,calle y puerta exacta,80,Direcciones Geográficas del Uruguay (IDE),"[""https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2024-03/ELEPEM%20CERTIFICADOS%207-3-2024.pdf""]"
