record_id,entity_id,source_type,source_title,source_date,source_url,source_document,source_row,department,locality,name,address,street,door,capacity,email,phone,certificate_number,certificate_year,director_technical,legal_name,rut
MSPF-011,ELP-0104,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,11,Colonia,Juan Lacaze,El Árbol de la Vida,"Juana C. Campomar 131, Senaque 85",Juana C. Campomar,"131, Senaque 85",27,jorgeceronfornari@hotmail.com,45865153 - 092972158,,,,,
MSPF-012,ELP-0124,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,12,Colonia,Nueva Helvecia,Inst. Probienestar del Anciano,Esteban Lazague 1295,Esteban Lazague,1295,60,ipbancianonuevahelvecia@hotmail.com,099895944,,,,,
MSPF-013,ELP-0116,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,13,Colonia,Nueva Helvecia,Hogar de Ancianos de la Sociedad de Auxilio Frauenverein,German Imhoff 904,German Imhoff,904,42,hogarfrau@gmail.com,45544158,,,,,
MSPF-014,ELP-0119,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,14,Colonia,Nueva Palmira,Hogar de Ancianos Nueva Palmira,Ituzaingo 1091,Ituzaingo,1091,30,hogarpal@vera.com.uy,45446020,,,,,
MSPF-015,ELP-0115,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,15,Colonia,Ombúes de la Valle,Hogar de Ancianos Cristo Salvador,"Ruta 55 Km. 22,500",Ruta 55,"Km 22,500",35,hogarcristosalvador@vera.com.uy,45706103,,,,,
MSPF-016,ELP-0122,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,16,Colonia,Valdense,Hogar para Ancianos de Colonia,Armand Ugón 1569,Armand Ugón,1569,100,direccion.hpavaldense@gmail.com,45588818 - 45589316,,,,,
MSPF-017,ELP-0114,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,17,Colonia,Conchillas,Valdense Hogar de Ancianos Centenario,Tomas Walker S/N,Tomas Walker,S/N,20,hogarcentenario@gmail.com,45772134,,,,,
MSPF-018,ELP-0106,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,18,Colonia,Colonia Miguelete Colonia del,Conchillas Asc. Civil Por-Bienestar Social de la Tercera Edad,José Pedro Varela S/N,José Pedro Varela,S/N,40,saludhogarmiguelete@gmail.com,45752145 - 45752509,,,,,
MSPF-019,ELP-0140,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,19,Colonia,Sacramento,Residencial Rivera,Rivera 288,Rivera,288,15,martinpolli@gmail.com,45235005,,,,,
MSPF-020,ELP-0165,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,20,Durazno,Durazno,Tea Garden,Penza 951 Y B. Brum,Penza,951 Y B. Brum,17,cracristinacabrera@gmail.com,099116676,,,,,
MSPF-021,ELP-0167,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,21,Flores,Trinidad,"Hogar ""Dr. Cipriano Goñi""",Manuel Irazábal S/N,Manuel Irazábal,S/N,56,luisdotta@asse.com.uy,,,,,,
MSPF-022,ELP-0184,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,22,Florida,Florida,Hostal Las Hortensias,Barreiro 157,Barreiro,157,8,ilianafa@adinet.com.uy,091513275,,,,,
MSPF-023,ELP-0182,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,23,Florida,Florida,Hogar de Ancianos- Florida,F. Harrinson s/n,F. Harrinson,S/N,38,hogardelancianoflorida@gmail.com,099846447 - 43522515,,,,,
MSPF-024,ELP-0180,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,24,Florida,Sarandí Grande,Hogar de Ancianos,Faustino Harrinson s/n,Faustino Harrinson,S/N,25,giselab@adinet.com.uy,43549578,,,,,
MSPF-025,ELP-0188,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,25,Florida,Sarandí Grande,Los Tulipanes,Aida Garat de Bidondo 862,Aida Garat de Bidondo,862,15,socacarolina@gmail.com,95383216,,,,,
MSPF-026,ELP-0199,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,26,Lavalleja,Mariscala,Hogar de Ancianos Mariscala,Minas S/N entre Viana y Sarandí,Minas,S/N,30,hogardeancianosmariscala@gmail.com,44492110 - 095977306,,,,,
MSPF-027,ELP-0198,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,27,Lavalleja,Minas,RESIDENCIAL Cristal,Ituzaingó 434,Ituzaingó,434,17,br.vegap@gmail.com,99282984,,,,,
MSPF-028,ELP-0221,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,28,Maldonado,San Carlos,Hogar Ecilda Cardozo,25 de agosto 773,,25 de agosto 773,20,hogarecildasancarlos@gmail.com,42668513,,,,,
MSPF-029,ELP-0231,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,29,Maldonado,Punta del Este,Los Alamos,Bilbao c/Pedragosa Sierra Pda.,Bilbao c/Pedragosa Sierra Pda.,,23,aamperez@hotmail.com,42481758 42480339 - 098856984,,,,,
MSPF-030,ELP-0229,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,30,Maldonado,Punta del Este,Las Lavandas,5 Paso de la Cadena esq. Alamein,,5 Paso de la Cadena,21,sfernandez@asesoria21.com,(Santiago),,,,,
MSPF-031,ELP-0227,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,31,Maldonado,Punta Ballena,La Tregua,“las antorchas” Camino Los Camalotes a 1.5 Km de Camino Lussich,“las antorchas” Camino Los Camalotes a,1.5 Km de Camino Lussich,21,abril-247@hotmail.com,42577513 - 095321855 44347474 - 099877976 -,,,,,
MSPF-032,ELP-0219,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,32,Maldonado,Pan de Azúcar,Hogar de Ancianos Pan de Azúcar,Rutas 93 y 37 Km. 92,Rutas 93 y 37,Km 92,10,pandeazucarhogar@hotmail.com,099951475,,,,,
MSPF-033,ELP-0295,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,33,Montevideo,Montevideo,Altos Del Centro,Yí 1363,Yí,1363,35,ryaltoscentro@gmail.com,29046771,,,,,
MSPF-034,ELP-0681,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,34,Montevideo,Montevideo,Santa Bernardita,19 de Abril 1140,,19 de Abril 1140,19,acevo@gmail.com,23367885,,,,,
MSPF-035,ELP-0518,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,35,Montevideo,Montevideo,María de los Angeles,Bulevar Batlle y Ordóñez 3019,Bulevar Batlle y Ordóñez,3019,20,diegogiambruno@hotmail.com gabriela.rodriguez@redbienestar.net -,24814054,,,,,
MSPF-036,ELP-0563,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,36,Montevideo,Montevideo,Red Bienestar,Rivera 4589,Rivera,4589,21,contacto@redbienestar.net,,,,,,
MSPF-037,ELP-0280,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,37,Montevideo,Montevideo,Aguas de Reposo,Avenida Italia 6527,Avenida Italia,6527,18,aguasdereposo2019@gmail.com,26040203 – 099732263,,,,,
MSPF-038,ELP-0660,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,38,Montevideo,Montevideo,Valle Vilcabamba Residencias,Almirante Harwood 6214 -6212,Almirante Harwood,6214 -6212,16,admonvilcabamba@gmail.com,26002063 – 095066822,,,,,
MSPF-039,ELP-0451,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,39,Montevideo,Montevideo,Irigoitía,Juan Carlos Blanco 3485,Juan Carlos Blanco,3485,16,www.irigoitia.com - info@irigoitia.com,,,,,,
MSPF-040,ELP-0703,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,40,Montevideo,Montevideo,Valle Vilcabamba,Alejandro Fleming 1741,Alejandro Fleming,1741,20,adminvilcabamba@gmail.com,,,,,,
MSPF-041,ELP-0303,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,41,Montevideo,Montevideo,Antares,Bulevar Artigas 1308,Bulevar Artigas,1308,27,residencial.antares@hotmail.com,,,,,,
MSPF-042,ELP-0317,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,42,Montevideo,Montevideo,Bellos Años,Luis Alberto de Herrera 3159,Luis Alberto de Herrera,3159,20,hogarbellosa@gmail.com,,,,,,
MSPF-043,ELP-0522,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,43,Montevideo,Montevideo,Residencial Mariana,Gaboto 1323,Gaboto,1323,19,anamarrero4110@hotmail.com,,,,,,
MSPF-044,ELP-0447,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,44,Montevideo,Montevideo,Siena,Libertad 2840,Libertad,2840,23,hogarsiena@gmail.com,,,,,,
MSPF-045,ELP-0480,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,45,Montevideo,Montevideo,Las Brisas,Colonia 2179,Colonia,2179,36,mboramas@adinet.com.uy,,,,,,
MSPF-046,ELP-0651,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,46,Montevideo,Montevideo,Sueño de Hogar,San Martín 3020,San Martín,3020,25,residencialsdehogar@gmail.com,,,,,,
MSPF-047,ELP-0676,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,47,Montevideo,Montevideo,San Jorge,Rivera 2520,Rivera,2520,27,info@residencialsanjorge.com.uy,,,,,,
MSPF-048,ELP-0296,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,48,Montevideo,Montevideo,Altos del Parque,Américo Ricaldoni 1748,Américo Ricaldoni,1748,20,raltosdelparque@gmail.com,,,,,,
MSPF-049,ELP-0655,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,49,Montevideo,Montevideo,Terra Nostra,Pedro Cosio 2451,Pedro Cosio,2451,20,residencialterranostra@hotmail.com,,,,,,
MSPF-050,ELP-0331,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,50,Montevideo,Montevideo,Casa del Sol,D. A. Larrañaga 4104,D. A. Larrañaga,4104,16,noeliaruiz2003@hotmail.com,,,,,,
MSPF-051,ELP-0691,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,51,Montevideo,Montevideo,Sueños Compartidos,Dalmiro Costa 4685,Dalmiro Costa,4685,18,contacto@hogarsc.com.uy,,,,,,
MSPF-052,ELP-0533,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,52,Montevideo,Montevideo,Miguel Ángel,Batlle y Ordóñez 5781,Batlle y Ordóñez,5781,28,fabianapaola03@gmail.com,,,,,,
MSPF-053,ELP-0438,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,53,Montevideo,Montevideo,Toscana Hogar,Av. Centenario 3076,Av. Centenario,3076,22,centroresidenciales.toscana@gmail.com,,,,,,
MSPF-054,ELP-0510,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,54,Montevideo,Montevideo,Los Nonos,Francisco Canaro 2290,Francisco Canaro,2290,14,menzalli@gmail.com,,,,,,
MSPF-055,ELP-0422,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,55,Montevideo,Montevideo,Higea,Marco Bruto 1264,Marco Bruto,1264,12,higea5@gmail.com,,,,,,
MSPF-056,ELP-0478,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,56,Montevideo,Montevideo,Las Gardenias 1,Caramurú 5812,Caramurú,5812,18,rositalaguardia@gmail.com,,,,,,
MSPF-057,ELP-0686,msp_habilitacion_final_2026,Establecimientos de Larga Estadía para Personas Mayores habilitados en el país,2026-06-30,https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf,ELEPEM HABILITADOS JUNIO 2026.pdf,57,Montevideo,Montevideo,Seraan,Avda. Millán 3346,Avda. Millán,3346,21,seraancooperativa@gmail.com,,,,,,
